currentTimeStep, cubeJulia.position.x, cubeJulia.position.y, alphaJulia, degree, horizonForceJulia, verticalForceJulia, -frictionForceJulia.x + horizonForceJulia, -frictionForceJulia.y + verticalForceJulia, -frictionForceJulia.z + zAxisForceJulia
69.17162,-21.53774,0.7533548,0.004435447,0.2541324,0.08704493,19.62471,0.06434512,19.62481,-2.898155E-09
69.18162,-21.53712,0.7533522,0.004332392,0.2482278,0.08502261,19.62474,0.06226848,19.62484,-2.902153E-09
69.19161,-21.5365,0.7533495,0.00422902,0.242305,0.08299404,19.62477,0.06018744,19.62487,-2.906029E-09
69.20161,-21.53588,0.753347,0.004125648,0.2363822,0.08096546,19.6248,0.05810825,19.62489,-2.909782E-09
69.2116,-21.53526,0.7533445,0.004021958,0.2304412,0.07893064,19.62482,0.05602468,19.62492,-2.913414E-09
69.2216,-21.53464,0.753342,0.003918267,0.2245002,0.07689581,19.62485,0.05394297,19.62494,-2.916921E-09
69.23159,-21.53402,0.7533396,0.003814577,0.2185592,0.07486097,19.62488,0.05186313,19.62497,-2.920307E-09
69.24158,-21.53339,0.7533373,0.003710568,0.2125999,0.07281988,19.6249,0.04977892,19.62499,-2.92357E-09
69.25158,-21.53277,0.7533351,0.003606878,0.2066589,0.07078502,19.62493,0.04770822,19.62501,-2.92847E-09
69.26157,-21.53215,0.7533329,0.00350287,0.2006997,0.06874393,19.62495,0.04562592,19.62503,-2.930882E-09
69.27157,-21.53152,0.7533307,0.003398862,0.1947404,0.06670282,19.62497,0.04354484,19.62505,-2.932973E-09
69.28156,-21.5309,0.7533286,0.003294535,0.188763,0.06465548,19.62499,0.04146093,19.62507,-2.935384E-09
69.29156,-21.53027,0.7533266,0.003190209,0.1827855,0.06260811,19.62502,0.03937992,19.62509,-2.937993E-09
69.30155,-21.52965,0.7533246,0.003085883,0.1768081,0.06056075,19.62503,0.03730083,19.62511,-2.940482E-09
69.31155,-21.52902,0.7533227,0.002981557,0.1708306,0.05851338,19.62505,0.03522363,19.62512,-2.942847E-09
69.32154,-21.5284,0.7533209,0.002877231,0.1648532,0.05646601,19.62507,0.03314836,19.62514,-2.945092E-09
69.33154,-21.52777,0.7533191,0.002772586,0.1588575,0.0544124,19.62509,0.03106875,19.62515,-2.947211E-09
69.34153,-21.52714,0.7533175,0.002667942,0.1528618,0.05235877,19.62511,0.02899105,19.62517,-2.949207E-09
69.35152,-21.52651,0.7533159,0.002563298,0.1468662,0.05030515,19.62512,0.02691528,19.62518,-2.951082E-09
69.36152,-21.52589,0.7533143,0.002458654,0.1408705,0.04825152,19.62514,0.02484143,19.6252,-2.952836E-09
69.37151,-21.52526,0.7533128,0.00235401,0.1348748,0.04619789,19.62515,0.02276949,19.62521,-2.954467E-09
69.38151,-21.52463,0.7533114,0.002249366,0.1288792,0.04414425,19.62516,0.02069949,19.62522,-2.955976E-09
69.3915,-21.524,0.75331,0.002144722,0.1228835,0.04209061,19.62518,0.01863141,19.62523,-2.957363E-09
69.4015,-21.52337,0.7533087,0.00203976,0.1168696,0.04003073,19.62519,0.016559,19.62524,-2.958629E-09
69.41149,-21.52275,0.7533075,0.001934798,0.1108557,0.03797084,19.6252,0.01448853,19.62524,-2.959771E-09
